n,fib,runtime
1,1,1.7903e-06
2,1,3.0242e-06
3,2,3.6295e-06
4,3,3.3915e-06
5,5,3.7166e-06
6,8,5.399e-06
7,13,6.4228e-06
8,21,4.4671e-06
9,34,6.0804e-06
10,55,1.0224e-05
11,89,1.3091e-05
12,144,1.8994e-05
13,233,2.908e-05
14,377,4.589e-05
15,610,7.3652e-05
16,987,0.00012226
17,1597,0.00019132
18,2584,0.00031031
19,4181,0.0004796
20,6765,0.00080886
21,10946,0.0011804
22,17711,0.001866
23,28657,0.0031186
24,46368,0.0053175
25,75025,0.0084212
26,1.2139e+05,0.017853
27,1.9642e+05,0.021866
28,3.1781e+05,0.035974
29,5.1423e+05,0.059895
30,8.3204e+05,0.094142
31,1.3463e+06,0.14942
32,2.1783e+06,0.24192
33,3.5246e+06,0.38978
34,5.7029e+06,0.64154
35,9.2275e+06,1.0073
